Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Expenditure Purpose,Merchant Category
28/11/2014,DCC COMM SERV'S DEVON-TIVERTON,WWW.YELLOWMOON.ORG.UK,48.92,General Retail and Wholesale,Art & craft shops
30/11/2014,DCC COMM SERV'S DEVON-TIVERTON,JOHN LEWIS,289.00,General Retail and Wholesale,Department stores
01/12/2014,DCC COMM SERV'S DEVON-TIVERTON,Amazon  Mktplce EU-UK,8.95,Books and Periodicals,Book stores
01/12/2014,DCC COMM SERV'S DEVON-TIVERTON,TELECARE ELECTRICS,229.00,General Retail and Wholesale,Small appliance repairs
04/12/2014,DCC COMM SERV'S DEVON-TIVERTON,Amazon  Mktplce EU-UK,8.06,Books and Periodicals,Book stores
08/12/2014,DCC COMM SERV'S DEVON-TIVERTON,BOSTOCKS GC,47.49,Estate and Garden Services,Lawn & garden supply/nursery
08/12/2014,DCC COMM SERV'S DEVON-TIVERTON,RED LION BAZAAR,35.00,General Retail and Wholesale,"Gift, card & novelty shops"
10/12/2014,DCC COMM SERV'S DEVON-TIVERTON,Amazon  Mktplce EU-UK,33.95,Books and Periodicals,Book stores
16/12/2014,DCC COMM SERV'S DEVON-TIVERTON,Amazon  Mktplce EU-UK,-33.95,Books and Periodicals,Book stores
16/12/2014,DCC COMM SERV'S DEVON-TIVERTON,Amazon EU,39.80,Mail Order / Direct Selling,Direct sales companies
17/12/2014,DCC COMM SERV'S DEVON-TIVERTON,DUNELM LTD,39.92,General Retail and Wholesale,Drapery & upholstery shops
27/11/2014,DCC COURT OF PROTECT-C 0509893,AGE UK INSURANCE,47.99,Financial Services,"Insurance sales, underwritering, premiums"
27/11/2014,DCC COURT OF PROTECT-C 0509893,Amazon EU,11.16,Mail Order / Direct Selling,Direct sales companies
05/12/2014,DCC COURT OF PROTECT-C 0509893,BENSONS FOR BEDS,350.00,General Retail and Wholesale,Furniture & home furnishing
12/12/2014,DCC COURT OF PROTECT-C 0509893,BOOTS OPTICIANS 3028,133.90,Medical Supplies and Services,Opticians
17/12/2014,DCC COURT OF PROTECT-C 0509893,SCREWFIX DIRECT,59.99,Building Materials,Timber & building supplies
17/12/2014,DCC COURT OF PROTECT-C 0509893,SCREWFIX DIRECT,0.00,Building Materials,Timber & building supplies
18/12/2014,DCC COURT OF PROTECT-C 0509893,WWW.HIGOS.CO.UK,648.60,Financial Services,"Insurance sales, underwritering, premiums"
26/11/2014,DCC EAST DEVON LEARN DISB SERV,TESCO STORES 5138,95.96,General Retail and Wholesale,Grocery stores
02/12/2014,DCC EAST DEVON LEARN DISB SERV,B&Q,118.00,Building Materials,Timber & building supplies
02/12/2014,DCC EAST DEVON LEARN DISB SERV,B&Q,0.00,Building Materials,Timber & building supplies
02/12/2014,DCC EAST DEVON LEARN DISB SERV,B&Q,0.00,Building Materials,Timber & building supplies
02/12/2014,DCC EAST DEVON LEARN DISB SERV,B&Q,0.00,Building Materials,Timber & building supplies
02/12/2014,DCC EAST DEVON LEARN DISB SERV,B&Q,0.00,Building Materials,Timber & building supplies
02/12/2014,DCC EAST DEVON LEARN DISB SERV,B&Q,0.00,Building Materials,Timber & building supplies
04/12/2014,DCC EAST DEVON LEARN DISB SERV,TESCO STORES 5138,85.97,General Retail and Wholesale,Grocery stores
12/12/2014,DCC EAST DEVON LEARN DISB SERV,TESCO STORES 5138,115.52,General Retail and Wholesale,Grocery stores
18/12/2014,DCC HORWOOD & NEWTON- C0529381,TESCO STORES 6269,123.65,General Retail and Wholesale,Grocery stores
21/11/2014,DCC KING EDWARD VI COMMUNITY C,WWW.RFU.COM,23.20,Leisure Activities,Sports clubs & promoters
21/11/2014,DCC KING EDWARD VI COMMUNITY C,2CHECKOUT.COM,25.97,Mail Order / Direct Selling,Catalogue sales
21/11/2014,DCC KING EDWARD VI COMMUNITY C,Amazon EU,102.99,Mail Order / Direct Selling,Direct sales companies
21/11/2014,DCC KING EDWARD VI COMMUNITY C,EASYJET     000ENFRMH2,3114.66,Travel - Air/Rail/Road,Easyjet
24/11/2014,DCC KING EDWARD VI COMMUNITY C,Amazon  Mktplce EU-UK,9.99,Books and Periodicals,Book stores
26/11/2014,DCC KING EDWARD VI COMMUNITY C,BULL'S HEAD CHISLE,194.00,Restaurants and Bars,Restaurants
27/11/2014,DCC KING EDWARD VI COMMUNITY C,WWW.PARKCAMERAS.CO.UK,18.50,General Retail and Wholesale,Camera & photographic supply shop
27/11/2014,DCC KING EDWARD VI COMMUNITY C,FGW WEBSALES,138.50,Travel - Air/Rail/Road,Passenger railways
28/11/2014,DCC KING EDWARD VI COMMUNITY C,Amazon  Mktplce EU-UK,8.22,Books and Periodicals,Book stores
28/11/2014,DCC KING EDWARD VI COMMUNITY C,Amazon  Mktplce EU-UK,4.30,Books and Periodicals,Book stores
30/11/2014,DCC KING EDWARD VI COMMUNITY C,Amazon  Mktplce EU-UK,4.46,Books and Periodicals,Book stores
30/11/2014,DCC KING EDWARD VI COMMUNITY C,Amazon EU,48.22,Mail Order / Direct Selling,Direct sales companies
01/12/2014,DCC KING EDWARD VI COMMUNITY C,WWW.SIGN-HOLDERS.CO.UK,21.48,General Retail and Wholesale,Miscellaneous retail
02/12/2014,DCC KING EDWARD VI COMMUNITY C,MACHINE MART LTD,554.64,General Retail and Wholesale,Household appliance stores
04/12/2014,DCC KING EDWARD VI COMMUNITY C,Amazon  Mktplce EU-UK,20.30,Books and Periodicals,Book stores
04/12/2014,DCC KING EDWARD VI COMMUNITY C,Amazon  Mktplce EU-UK,23.85,General Retail and Wholesale,Miscellaneous retail
05/12/2014,DCC KING EDWARD VI COMMUNITY C,Amazon EU,92.75,Mail Order / Direct Selling,Direct sales companies
08/12/2014,DCC KING EDWARD VI COMMUNITY C,WWW.HBINGREDIENTS.CO.UK,119.30,General Retail and Wholesale,Grocery stores
08/12/2014,DCC KING EDWARD VI COMMUNITY C,BT BILL PAYMENT 1,71.88,Telecommunication Services,Phone equipment & sales
09/12/2014,DCC KING EDWARD VI COMMUNITY C,ARGOS DIRECT,164.96,General Retail and Wholesale,Discount stores
09/12/2014,DCC KING EDWARD VI COMMUNITY C,ARGOS DIRECT,90.95,Mail Order / Direct Selling,Catalogue sales
10/12/2014,DCC KING EDWARD VI COMMUNITY C,DRI  NUANCE,62.60,Computer Equipment & Services,Computer software stores
12/12/2014,DCC KING EDWARD VI COMMUNITY C,Amazon  Mktplce EU-UK,68.40,Books and Periodicals,Book stores
12/12/2014,DCC KING EDWARD VI COMMUNITY C,WM MORRISONS,23.00,General Retail and Wholesale,Grocery stores
15/12/2014,DCC KING EDWARD VI COMMUNITY C,Amazon  Mktplce EU-UK,58.94,Books and Periodicals,Book stores
16/12/2014,DCC KING EDWARD VI COMMUNITY C,Amazon  Mktplce EU-UK,5.55,Books and Periodicals,Book stores
16/12/2014,DCC KING EDWARD VI COMMUNITY C,Amazon  Mktplce EU-UK,43.69,Books and Periodicals,Book stores
16/12/2014,DCC KING EDWARD VI COMMUNITY C,Amazon  Mktplce EU-UK,3.49,Books and Periodicals,Book stores
16/12/2014,DCC KING EDWARD VI COMMUNITY C,Amazon  Mktplce EU-UK,19.04,Books and Periodicals,Book stores
17/12/2014,DCC KING EDWARD VI COMMUNITY C,Amazon  Mktplce EU-UK,24.45,Books and Periodicals,Book stores
17/12/2014,DCC KING EDWARD VI COMMUNITY C,FGW WEBSALES,63.00,Travel - Air/Rail/Road,Passenger railways
19/12/2014,DCC KING EDWARD VI COMMUNITY C,Amazon  Mktplce EU-UK,14.44,Books and Periodicals,Book stores
19/12/2014,DCC KING EDWARD VI COMMUNITY C,WM MORRISONS,37.00,General Retail and Wholesale,Grocery stores
21/11/2014,DCC SOUTH MOLTON COMMUNITY COL,ITUNES.COM/BILL,10.40,General Retail and Wholesale,Record shops
21/11/2014,DCC SOUTH MOLTON COMMUNITY COL,ITUNES.COM/BILL,10.40,General Retail and Wholesale,Record shops
21/11/2014,DCC SOUTH MOLTON COMMUNITY COL,ITUNES.COM/BILL,6.92,General Retail and Wholesale,Record shops
28/11/2014,DCC SOUTH MOLTON COMMUNITY COL,Groupon,49.99,Mail Order / Direct Selling,Buying & shopping services/clubs
28/11/2014,DCC SOUTH MOLTON COMMUNITY COL,WWW.LEISURE.ORDNANCE,15.29,Mail Order / Direct Selling,Catalogue sales
02/12/2014,DCC SOUTH MOLTON COMMUNITY COL,WWW.FURNITUREATWORK.CO,200.16,General Retail and Wholesale,Furniture & home furnishing
02/12/2014,DCC SOUTH MOLTON COMMUNITY COL,WWW.ROYALMAIL.COM,162.73,Mail and Courier Services,Postal services
02/12/2014,DCC SOUTH MOLTON COMMUNITY COL,Amazon EU,45.00,Mail Order / Direct Selling,Direct sales companies
02/12/2014,DCC SOUTH MOLTON COMMUNITY COL,Amazon EU,35.98,Mail Order / Direct Selling,Direct sales companies
02/12/2014,DCC SOUTH MOLTON COMMUNITY COL,ISUBSCRIBE.CO.UK,47.50,Print and Advertising,Publishing & printing services
03/12/2014,DCC SOUTH MOLTON COMMUNITY COL,Amazon  Mktplce EU-UK,8.00,Books and Periodicals,Book stores
04/12/2014,DCC SOUTH MOLTON COMMUNITY COL,EDEN INTERACTIVE L,55.33,Books and Periodicals,Book stores
04/12/2014,DCC SOUTH MOLTON COMMUNITY COL,ITUNES.COM/BILL,9.10,General Retail and Wholesale,Record shops
04/12/2014,DCC SOUTH MOLTON COMMUNITY COL,999INKS.COM,71.99,"Office Stationery, Equipment and Supplies",Photocopy & reproduction services
05/12/2014,DCC SOUTH MOLTON COMMUNITY COL,Amazon  Mktplce EU-UK,13.98,Books and Periodicals,Book stores
08/12/2014,DCC SOUTH MOLTON COMMUNITY COL,WWW.AJPARTS.CO.UK,65.98,Computer Equipment & Services,"Computers, peripherals & software"
09/12/2014,DCC SOUTH MOLTON COMMUNITY COL,EDEN INTERACTIVE L,-34.88,Books and Periodicals,Book stores
09/12/2014,DCC SOUTH MOLTON COMMUNITY COL,THE BOOK PEOPLE,33.76,Books and Periodicals,Book stores
09/12/2014,DCC SOUTH MOLTON COMMUNITY COL,Amazon  Mktplce EU-UK,13.99,General Retail and Wholesale,Miscellaneous retail
09/12/2014,DCC SOUTH MOLTON COMMUNITY COL,WWW.CARTRIDGEPEOPLE.CO,324.58,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
11/12/2014,DCC SOUTH MOLTON COMMUNITY COL,ITUNES.COM/BILL,6.67,General Retail and Wholesale,Record shops
11/12/2014,DCC SOUTH MOLTON COMMUNITY COL,Amazon EU,15.39,Mail Order / Direct Selling,Direct sales companies
12/12/2014,DCC SOUTH MOLTON COMMUNITY COL,Amazon  Mktplce EU-UK,27.88,Books and Periodicals,Book stores
13/12/2014,DCC SOUTH MOLTON COMMUNITY COL,Amazon  Mktplce EU-UK,15.26,Books and Periodicals,Book stores
15/12/2014,DCC SOUTH MOLTON COMMUNITY COL,SALES@AIRSQUIRRELS.COM,197.43,Computer Equipment & Services,Computer software stores
16/12/2014,DCC SOUTH MOLTON COMMUNITY COL,ITUNES.COM/BILL,9.10,General Retail and Wholesale,Record shops
17/12/2014,DCC SOUTH MOLTON COMMUNITY COL,ARBOR EDUCATION,240.00,Training and Educational,Schools
17/12/2014,DCC SOUTH MOLTON COMMUNITY COL,ARBOR EDUCATION,120.00,Training and Educational,Schools
17/12/2014,DCC SOUTH MOLTON COMMUNITY COL,ARBOR EDUCATION,120.00,Training and Educational,Schools
18/12/2014,DCC SOUTH MOLTON COMMUNITY COL,999INKS.COM,129.51,"Office Stationery, Equipment and Supplies",Photocopy & reproduction services
18/12/2014,DCC SOUTH MOLTON COMMUNITY COL,COMPANIES HOUSE,13.00,Statutory Bodies,Government services
18/12/2014,DCC SOUTH MOLTON COMMUNITY COL,HOTELS COM120013111692,246.00,Travel - Air/Rail/Road,Travel agencies
19/12/2014,DCC SOUTH MOLTON COMMUNITY COL,UNIFORMWORKS,123.90,General Retail and Wholesale,Children/infants shops
22/12/2014,DCC SOUTH MOLTON COMMUNITY COL,WWW.CHALKFACE.COM,-28.70,Training and Educational,Schools
03/12/2014,DCC -SOUTH TAWTON PRIM SCHOOL,WWW.VOUCHEREXPRESS.CO.,11.50,General Retail and Wholesale,"Gift, card & novelty shops"
04/12/2014,DCC -SOUTH TAWTON PRIM SCHOOL,WWW.VOUCHEREXPRESS.CO.,21.50,General Retail and Wholesale,"Gift, card & novelty shops"
05/12/2014,DCC -SOUTH TAWTON PRIM SCHOOL,PAYPAL  ASAPSTAMPSL,8.90,Print and Advertising,Advertising services
16/12/2014,DCC -SOUTH TAWTON PRIM SCHOOL,Amazon EU,30.00,Mail Order / Direct Selling,Direct sales companies
23/11/2014,DCC ST HORRABRIDGE-C 0514361,WAITROSE 656,23.01,General Retail and Wholesale,Grocery stores
28/11/2014,DCC ST HORRABRIDGE-C 0514361,W M MORRISON,7.08,Automotive Fuel,Service stations
30/11/2014,DCC ST HORRABRIDGE-C 0514361,Amazon  Mktplce EU-UK,18.90,Books and Periodicals,Book stores
30/11/2014,DCC ST HORRABRIDGE-C 0514361,TESCO-STORES-6106,27.89,General Retail and Wholesale,Grocery stores
04/12/2014,DCC ST HORRABRIDGE-C 0514361,W M MORRISON,5.89,Automotive Fuel,Service stations
08/12/2014,DCC ST HORRABRIDGE-C 0514361,W M MORRISON,4.08,Automotive Fuel,Service stations
08/12/2014,DCC ST HORRABRIDGE-C 0514361,TESCO-STORES-6106,18.87,General Retail and Wholesale,Grocery stores
10/12/2014,DCC ST HORRABRIDGE-C 0514361,WWW.NISBETS.COM,132.74,Mail Order / Direct Selling,Catalogue sales
11/12/2014,DCC ST HORRABRIDGE-C 0514361,W M MORRISON,2.78,Automotive Fuel,Service stations
14/12/2014,DCC ST HORRABRIDGE-C 0514361,WAITROSE 656,19.16,General Retail and Wholesale,Grocery stores
17/12/2014,DCC ST HORRABRIDGE-C 0514361,CO-OP GROUP 160029,6.58,General Retail and Wholesale,Grocery stores
09/12/2014,DCC ST PETERS - C 0559305,Amazon  Mktplce EU-UK,48.48,Books and Periodicals,Book stores
09/12/2014,DCC ST PETERS - C 0559305,Amazon  Mktplce EU-UK,48.98,Books and Periodicals,Book stores
15/12/2014,DCC ST PETERS - C 0559305,TSL CLOTHING,13.95,General Retail and Wholesale,Family clothing shops
15/12/2014,DCC ST PETERS - C 0559305,TSL CLOTHING,15.00,General Retail and Wholesale,Family clothing shops
12/12/2014,DCC STOKE CANON PRI 0478811,Amazon  Mktplce EU-UK,21.98,Books and Periodicals,Book stores
15/12/2014,DCC STOKE CANON PRI 0478811,Amazon  Mktplce EU-UK,79.61,Books and Periodicals,Book stores
21/11/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO,Amazon  Mktplce EU-UK,2.97,Books and Periodicals,Book stores
22/11/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO,TESCO STORE 2083,89.79,General Retail and Wholesale,Grocery stores
24/11/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO,TESCO STORE 2083,32.47,General Retail and Wholesale,Grocery stores
27/11/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO,TESCO STORE 2083,80.03,General Retail and Wholesale,Grocery stores
28/11/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO,TWIGS FLOWERS & GIFT SHO,38.95,Estate and Garden Services,Florists
30/11/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO,TESCO STORE 2083,60.88,General Retail and Wholesale,Grocery stores
02/12/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO,SAINSBURYS S/MKTS,17.65,General Retail and Wholesale,Grocery stores
02/12/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO,TESCO STORE 2083,47.93,General Retail and Wholesale,Grocery stores
02/12/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO,PAYPAL  LITERACYTRE,16.00,Training and Educational,Colleges & universities
04/12/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO,SAINSBURYS S/MKTS,10.34,General Retail and Wholesale,Grocery stores
04/12/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO,TESCO STORE 2083,29.28,General Retail and Wholesale,Grocery stores
05/12/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO,TESCO STORE 2083,84.85,General Retail and Wholesale,Grocery stores
09/12/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO,SAINSBURY'S S/MKT,6.00,General Retail and Wholesale,Grocery stores
09/12/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO,TESCO STORE 2083,48.27,General Retail and Wholesale,Grocery stores
11/12/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO,ARGOS LTD,75.96,General Retail and Wholesale,Discount stores
11/12/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO,TESCO STORE 2083,59.44,General Retail and Wholesale,Grocery stores
15/12/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO,TESCO STORE 2083,94.68,General Retail and Wholesale,Grocery stores
16/12/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO,TESCO STORE 2083,26.59,General Retail and Wholesale,Grocery stores
16/12/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO,TESCO STORE 2083,-2.01,General Retail and Wholesale,Grocery stores
17/12/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO,SAINSBURYS S/MKTS,6.00,General Retail and Wholesale,Grocery stores
17/12/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO,SAINSBURYS S/MKTS,8.00,General Retail and Wholesale,Grocery stores
17/12/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO,TESCO STORE 2083,-1.30,General Retail and Wholesale,Grocery stores
04/12/2014,DCC TOTNES FULLFILLING LIVES S,WWW.GOLDENDAYSGARDENCE,292.94,Estate and Garden Services,Lawn & garden supply/nursery
28/11/2014,DCC WEST HILL PRIMARY SCHOOL,Amazon EU,71.88,Mail Order / Direct Selling,Direct sales companies
04/12/2014,DCC WEST HILL PRIMARY SCHOOL,Amazon EU,5.99,Mail Order / Direct Selling,Direct sales companies
04/12/2014,DCC WEST HILL PRIMARY SCHOOL,Amazon EU,34.11,Mail Order / Direct Selling,Direct sales companies
18/12/2014,DCC WEST HILL PRIMARY SCHOOL,WWW.THE BATTERYSHOP.CO,26.96,General Retail and Wholesale,Miscellaneous retail
23/11/2014,DCC WHITCHURCH - C 0559309,WM MORRISONS,16.93,General Retail and Wholesale,Grocery stores
25/11/2014,DCC WHITCHURCH - C 0559309,WM MORRISONS,29.37,General Retail and Wholesale,Grocery stores
25/11/2014,DCC WHITCHURCH - C 0559309,Amazon EU,17.97,Mail Order / Direct Selling,Direct sales companies
27/11/2014,DCC WHITCHURCH - C 0559309,APPLE ONLINE STORE GBP,336.60,General Retail and Wholesale,Electronics shops
27/11/2014,DCC WHITCHURCH - C 0559309,APPLE ONLINE STORE GBP,29.00,General Retail and Wholesale,Electronics shops
09/12/2014,DCC WHITCHURCH - C 0559309,WM MORRISONS,17.01,General Retail and Wholesale,Grocery stores
13/12/2014,DCC WHITCHURCH - C 0559309,Amazon  Mktplce EU-UK,12.57,Books and Periodicals,Book stores
13/12/2014,DCC WHITCHURCH - C 0559309,Amazon  Mktplce EU-UK,52.67,Books and Periodicals,Book stores
13/12/2014,DCC WHITCHURCH - C 0559309,Amazon EU,57.12,Mail Order / Direct Selling,Direct sales companies
15/12/2014,DCC WHITCHURCH - C 0559309,Amazon  Mktplce EU-UK,25.79,Books and Periodicals,Book stores
15/12/2014,DCC WHITCHURCH - C 0559309,Amazon  Mktplce EU-UK,3.06,Books and Periodicals,Book stores
15/12/2014,DCC WHITCHURCH - C 0559309,Amazon  Mktplce EU-UK,150.47,Books and Periodicals,Book stores
17/12/2014,DCC WHITCHURCH - C 0559309,WWW.HARPERCOLLINS.CO.U,27.95,Books and Periodicals,Book stores
17/12/2014,DCC WHITCHURCH - C 0559309,WM MORRISONS,92.38,General Retail and Wholesale,Grocery stores
17/12/2014,DCC WHITCHURCH - C 0559309,Amazon EU,15.32,Mail Order / Direct Selling,Direct sales companies
17/12/2014,DCC WHITCHURCH - C 0559309,Amazon EU,54.00,Mail Order / Direct Selling,Direct sales companies
18/12/2014,DCC WHITCHURCH - C 0559309,Amazon EU,35.35,Mail Order / Direct Selling,Direct sales companies
21/11/2014,DCC WILLAND SCH-C 0509473,Amazon  Mktplce EU-UK,17.80,Books and Periodicals,Book stores
25/11/2014,DCC WILLAND SCH-C 0509473,TESCO STORES 5663,8.00,General Retail and Wholesale,Grocery stores
25/11/2014,DCC WILLAND SCH-C 0509473,Amazon EU,16.99,Mail Order / Direct Selling,Direct sales companies
25/11/2014,DCC WILLAND SCH-C 0509473,Amazon EU,56.49,Mail Order / Direct Selling,Direct sales companies
25/11/2014,DCC WILLAND SCH-C 0509473,Amazon EU,23.75,Mail Order / Direct Selling,Direct sales companies
27/11/2014,DCC WILLAND SCH-C 0509473,TESCO STORES 5663,4.00,General Retail and Wholesale,Grocery stores
02/12/2014,DCC WILLAND SCH-C 0509473,Amazon  Mktplce EU-UK,47.74,Books and Periodicals,Book stores
02/12/2014,DCC WILLAND SCH-C 0509473,TESCO STORES 5663,23.50,General Retail and Wholesale,Grocery stores
03/12/2014,DCC WILLAND SCH-C 0509473,TESCO STORES 5663,5.00,General Retail and Wholesale,Grocery stores
04/12/2014,DCC WILLAND SCH-C 0509473,TESCO STORES 5663,2.58,General Retail and Wholesale,Grocery stores
05/12/2014,DCC WILLAND SCH-C 0509473,Amazon  Mktplce EU-UK,11.98,Books and Periodicals,Book stores
09/12/2014,DCC WILLAND SCH-C 0509473,TESCO STORES 5663,43.00,General Retail and Wholesale,Grocery stores
10/12/2014,DCC WILLAND SCH-C 0509473,TESCO STORES 5663,8.00,General Retail and Wholesale,Grocery stores
11/12/2014,DCC WILLAND SCH-C 0509473,PAYPAL  PLANBEERESO,12.00,Training and Educational,Primary & secondary school
24/11/2014,DCC-BASSETTS FARM PR 0487469,ASDA HOME SHOPPING,128.32,General Retail and Wholesale,Grocery stores
01/12/2014,DCC-BASSETTS FARM PR 0487469,ASDA HOME SHOPPING,96.08,General Retail and Wholesale,Grocery stores
03/12/2014,DCC-BASSETTS FARM PR 0487469,Amazon  Mktplce EU-UK,11.90,Books and Periodicals,Book stores
03/12/2014,DCC-BASSETTS FARM PR 0487469,EXETER FABRIC CENTRE,71.79,General Retail and Wholesale,Fabric and sewing shops
04/12/2014,DCC-BASSETTS FARM PR 0487469,Amazon EU,75.54,Mail Order / Direct Selling,Direct sales companies
08/12/2014,DCC-BASSETTS FARM PR 0487469,ASDA HOME SHOPPING,123.74,General Retail and Wholesale,Grocery stores
09/12/2014,DCC-BASSETTS FARM PR 0487469,WWW.JACKSONART.CO.UK,39.20,General Retail and Wholesale,Art & craft shops
10/12/2014,DCC-BASSETTS FARM PR 0487469,Amazon  Mktplce EU-UK,13.79,Books and Periodicals,Book stores
11/12/2014,DCC-BASSETTS FARM PR 0487469,Amazon EU,6.60,Mail Order / Direct Selling,Direct sales companies
15/12/2014,DCC-BASSETTS FARM PR 0487469,ASDA HOME SHOPPING,115.66,General Retail and Wholesale,Grocery stores
16/12/2014,DCC-BASSETTS FARM PR 0487469,Amazon  Mktplce EU-UK,20.76,Books and Periodicals,Book stores
16/12/2014,DCC-BASSETTS FARM PR 0487469,THE BOOK PEOPLE,26.49,Books and Periodicals,Book stores
17/12/2014,DCC-BASSETTS FARM PR 0487469,Amazon EU,75.09,Mail Order / Direct Selling,Direct sales companies
21/11/2014,DCC-RATCLIFFE SCH-C- 0503860,ONLINE TEACHING RESOUR,89.00,Mail Order / Direct Selling,Continuous subscriptions
22/11/2014,DCC-RATCLIFFE SCH-C- 0503860,Amazon EU,137.80,Mail Order / Direct Selling,Direct sales companies
24/11/2014,DCC-RATCLIFFE SCH-C- 0503860,Amazon  Mktplce EU-UK,107.68,Books and Periodicals,Book stores
03/12/2014,DCC-RATCLIFFE SCH-C- 0503860,Amazon  Mktplce EU-UK,1.39,Books and Periodicals,Book stores
03/12/2014,DCC-RATCLIFFE SCH-C- 0503860,Amazon  Mktplce EU-UK,15.00,Books and Periodicals,Book stores
03/12/2014,DCC-RATCLIFFE SCH-C- 0503860,Amazon  Mktplce EU-UK,3.45,Books and Periodicals,Book stores
03/12/2014,DCC-RATCLIFFE SCH-C- 0503860,SURECARTLIM,43.78,General Retail and Wholesale,Electronics shops
04/12/2014,DCC-RATCLIFFE SCH-C- 0503860,Amazon  Mktplce EU-UK,7.74,Books and Periodicals,Book stores
04/12/2014,DCC-RATCLIFFE SCH-C- 0503860,Amazon  Mktplce EU-UK,80.75,Books and Periodicals,Book stores
08/12/2014,DCC-RATCLIFFE SCH-C- 0503860,Amazon  Mktplce EU-UK,8.90,Books and Periodicals,Book stores
09/12/2014,DCC-RATCLIFFE SCH-C- 0503860,Amazon  Mktplce EU-UK,11.98,Books and Periodicals,Book stores
09/12/2014,DCC-RATCLIFFE SCH-C- 0503860,Amazon  Mktplce EU-UK,67.50,Books and Periodicals,Book stores
09/12/2014,DCC-RATCLIFFE SCH-C- 0503860,Amazon  Mktplce EU-UK,18.60,Books and Periodicals,Book stores
09/12/2014,DCC-RATCLIFFE SCH-C- 0503860,Amazon  Mktplce EU-UK,9.85,Books and Periodicals,Book stores
09/12/2014,DCC-RATCLIFFE SCH-C- 0503860,PAYPAL  RICKMAYBURY,225.00,General Retail and Wholesale,Electronics shops
10/12/2014,DCC-RATCLIFFE SCH-C- 0503860,Amazon  Mktplce EU-UK,57.99,Books and Periodicals,Book stores
11/12/2014,DCC-RATCLIFFE SCH-C- 0503860,Amazon  Mktplce EU-UK,15.89,General Retail and Wholesale,Miscellaneous retail
12/12/2014,DCC-RATCLIFFE SCH-C- 0503860,Amazon  Mktplce EU-UK,19.45,Books and Periodicals,Book stores
13/12/2014,DCC-RATCLIFFE SCH-C- 0503860,Amazon EU,41.22,Mail Order / Direct Selling,Direct sales companies
13/12/2014,DCC-RATCLIFFE SCH-C- 0503860,Amazon EU,151.86,Mail Order / Direct Selling,Direct sales companies
14/12/2014,DCC-RATCLIFFE SCH-C- 0503860,Amazon EU,94.65,Mail Order / Direct Selling,Direct sales companies
15/12/2014,DCC-RATCLIFFE SCH-C- 0503860,Amazon  Mktplce EU-UK,14.90,Books and Periodicals,Book stores
01/12/2014,DCC-SOUTH MOLTON INF-C0595442,PAYPAL  EPLUSGLOBAL,72.00,Professional Services,Consultants & public relation services
02/12/2014,DCC-SOUTH MOLTON INF-C0595442,SAINSBURYS SUPERMA,19.00,General Retail and Wholesale,Grocery stores
16/12/2014,DCC-SOUTH MOLTON INF-C0595442,Amazon EU,23.75,Mail Order / Direct Selling,Direct sales companies
21/11/2014,DEVON COUNTY COUNCIL- MARLAND,Amazon  Mktplce EU-UK,17.98,Books and Periodicals,Book stores
21/11/2014,DEVON COUNTY COUNCIL- MARLAND,PAYPAL  AFRAPOCO,1.99,General Retail and Wholesale,Electronics shops
21/11/2014,DEVON COUNTY COUNCIL- MARLAND,PAYPAL  EFASHIONSHO,3.38,General Retail and Wholesale,Misc. clothing & accessory shops
21/11/2014,DEVON COUNTY COUNCIL- MARLAND,PAYPAL  HOPKINSONCY,17.99,General Retail and Wholesale,Shoe shops
21/11/2014,DEVON COUNTY COUNCIL- MARLAND,PAYPAL  HOPKINSONCY,17.99,General Retail and Wholesale,Shoe shops
21/11/2014,DEVON COUNTY COUNCIL- MARLAND,PAYPAL  MUDDASSARIM,3.28,General Retail and Wholesale,Miscellaneous retail
21/11/2014,DEVON COUNTY COUNCIL- MARLAND,PAYPAL  SMDOIDGE03,8.46,"Vehicles, Servicing and Spares",Automotive parts & accessories
